S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
188,DBBL,Deva Bikas Bank Limited,2:1,"4,405,440.00",100.00,2017-01-21,2017-03-09,2017-01-02,,NIBL Capital Markets Ltd.,Closed,,
189,MFIL,Manjushree Finance Limited,1:1.8,"4,386,375.00",100.00,2017-01-18,2017-02-21,2016-12-24,,Ace Capital Ltd.,Closed,,
190,SKDBL,Saptakoshi Development Bank Limited,1:1,"1,000,000.00",100.00,2017-01-07,2017-02-11,2016-12-23,,NMB Capital Limited,Closed,,
191,KADBL,Kanchan Development Bank Limited,2:1,"990,000.00",100.00,2017-01-01,2017-02-04,2016-12-15,,Global IME Capital Limited,Closed,,
192,SAFL,Sagarmatha Finance Limited,10:8,"2,954,389.00",100.00,2016-12-25,2017-01-29,2016-12-09,,NIBL Capital Market Limited,Closed,,
193,NBSL,Namaste Bittiya Sanstha Limited,1:1,"375,000.00",100.00,2016-12-22,2017-01-25,2016-12-09,,NMB Capital Limited,Closed,,
194,WDBL,Western Development Bank Limited,1:1,"1,569,600.00",100.00,2016-12-06,2017-01-24,2017-01-25,,Prabhu Capital Limited,Closed,,
195,SEWA,Sewa Bikas Bank Limited,1:1.20,"5,106,662.00",100.00,2016-12-07,2017-01-10,2016-10-05,2017-05-08,NMB Capital Limited,Closed,,
196,MBL,Machhapuchchhre Bank Limited,2:1,"19,322,700.00",100.00,2016-12-03,2017-01-14,2016-10-28,2017-04-03,Civil Capital Market Limited,Closed,,
197,NBBL,Nagbeli Laghubitta Bikash Bank Limited,2:1,"125,000.00",100.00,2016-12-04,2017-01-22,2017-01-23,2017-07-04,NMB Capital Limited,Closed,,
198,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,1:1.20,"552,000.00",100.00,2016-11-20,2016-12-25,2016-11-03,,Laxmi Capital Market Limited,Closed,,
199,SETI,Seti Finance Limited,1:1.50,"951,786.00",100.00,2016-11-15,2016-12-19,2016-10-26,,NIBL Capital Markets Limited,Closed,,
200,JBNL,Janata Bank Nepal Limited,2:1,"10,300,000.00",100.00,2016-11-15,2016-12-25,2016-12-26,,NCM Merchant Banking Limited,Closed,,
201,KDBL,Kasthamandap Development Bank Limited,4:1,"1,699,742.00",100.00,2016-11-10,2016-12-14,2016-10-25,,NCM Merchant Banking Limited,Closed,,
202,HBL,Himalayan Bank Limited,7:1,"6,427,350.00",100.00,2016-11-10,2016-12-14,2016-10-26,,Laxmi Capital Market Limited,Closed,,
203,TBBL,Triveni Bikas Bank Limited,2:1,"4,100,076.00",100.00,2016-11-07,2016-12-11,2016-10-17,2017-03-06,Ace Capital Limited,Closed,,
204,SBL,Siddhartha Bank Limited,4:1,"7,555,193.00",100.00,2016-10-26,2016-11-29,2016-10-03,,Laxmi Capital Market Ltd.,Closed,,
205,ADBL,Agricultural Development Bank Limited,2:1,"19,688,000.00",100.00,2016-10-18,2016-11-21,2016-09-26,,Ace Capital Limited.,Closed,,
206,ARDBL,Araniko Development Bank Limited,10:3.6,"928,190.00",100.00,2016-10-23,2016-11-26,2016-10-14,,Siddhartha Capital Limited,Closed,,
